file_name,text,speaker
01a5575c_000_00000.wav,誠様の顔を見ながら行かせていただいても🤭,
01a5575c_001_00000.wav,私もお手伝いさせていただきます😊,
01a5575c_002_00000.wav,誠様の無意識に😮‍💨,
01a5575c_002_00001.wav,しっかりと刻み込まれたことでしょう🫶,
01a5575c_003_00000.wav,呪文も魔法陣も必要ありません🤭,
01a5575c_004_00000.wav,鬼に花の名前を好んで付けてらっしゃいました🤭,
01a5575c_006_00000.wav,最後は頭を下げて🤭,
01a5575c_006_00001.wav,それが段取りではございましたが🤭,
01a5575c_007_00000.wav,誠様に失礼のないように🤭,
01a5575c_008_00000.wav,はい、何も難しく考える必要はありませんし、お役目を生活の中心に据えていただく必要もございません。😌,
01a5575c_010_00000.wav,動物の葬儀をあげてくださるお寺がございます😮‍💨,
01a5575c_011_00000.wav,誠様のお世話をするために必要な知識と🤫,
01a5575c_011_00001.wav,主のおそばを離れても活動できるだけの力を与えられております🤭,
01a5575c_012_00000.wav,霊には血が通っておりませんので😮‍💨,
01a5575c_013_00000.wav,街をさまよう霊魂を沈めることに 🥸ございます,
01a5575c_014_00000.wav,その理由がわかるかもしれません😮‍💨,
01a5575c_015_00000.wav,これ以上はお体に触ります🤭,
01a5575c_016_00000.wav,かしこまりました。すぐにお持ちいたしますね。😊,
01a5575c_018_00000.wav,その気にはなってくださらないのですね😮‍💨,
01a5575c_019_00000.wav,永遠の誓いを立てられぬこと😮‍💨,
01a5575c_020_00000.wav,私には触れてもおりません🤫,
01a5575c_021_00000.wav,家人に継承をつけるなどなりません😮‍💨,
01a5575c_022_00000.wav,仙台のおそばに行きましたので😋,
01a5575c_023_00000.wav,私はつい最近でございます🤭,
01a5575c_023_00001.wav,仙台の鬼ではございますが🤭,
01a5575c_023_00002.wav,誠様にお役名をお伝えするためだけに生まれました🤭,
01a5575c_024_00000.wav,もともと死が溢れるような町ではございませんから😮‍💨,
01a5575c_024_00001.wav,仙台も一月か二月に一人見かけると😮‍💨,
01a5575c_024_00002.wav,最近はよく霊に出会うと感じるほどだと😮‍💨,
01a5575c_025_00000.wav,こーら、誠様になんて口を!🤭,
01a5575c_026_00000.wav,やはり私も一緒に🤭,
01a5575c_027_00000.wav,あまり手の込んだものは作れなかったのですが😅,
